Story ID,Area,Feature,Role,User Story,Expected Behavior Based On Code,Primary Surface,Source Evidence,Test Evidence,Inventory Status,Test Status,Error Status,Priority,Notes
US-001,App shell,Route detection and navigation,Internal operator,"As an operator, I can open the home, offer, and production workspaces from stable routes.","/ maps to home, /angebot maps to offer, /produktion maps to production; navigation renders route-specific content and masthead labels.","UI: /, /angebot, /produktion",backoffice-ui/src/app-shell-state.ts; backoffice-ui/src/app-route-content.tsx; backoffice-ui/src/route-masthead.tsx,tests/backoffice-route-smoke.test.ts; tests/app-shell-state.test.ts,Inventoried,Not tested,,P1,
US-002,Home dashboard,Service health overview,Internal operator,"As an operator, I can see whether intake, offer, production, and export services are reachable.",Dashboard health state loads each service /health response and displays translated status/counts.,UI home dashboard; API health endpoints,backoffice-ui/src/use-app-dashboard-data.ts; backoffice-ui/src/app-shell-state.ts; intake-service/src/app.ts; offer-service/src/app.ts; production-service/src/app.ts; print-export/src/index.ts,tests/backoffice-route-smoke.test.ts; tests/runtime-service-smoke.test.ts,Inventoried,Not tested,,P1,
US-003,Home dashboard,Operational count overview,Internal operator,"As an operator, I can see current counts for requests, specs, offers, plans, purchase lists, recipes, and audit events.",Dashboard aggregates list endpoints and formats counts with German labels.,UI home dashboard,backoffice-ui/src/api.ts; backoffice-ui/src/app-dashboard-route-state.ts; backoffice-ui/src/app-shell-state.ts,tests/app-dashboard-route-state.test.ts; tests/backoffice-route-smoke.test.ts,Inventoried,Not tested,,P1,
US-004,Home dashboard,Latest intake summary,Internal operator,"As an operator, I can see the latest intake source, channel, filename, and ingestion warning context.","Latest request is selected by receivedAt and rendered with channel, filename, and ingestion warning summary when present.",UI home dashboard,backoffice-ui/src/app-shell-state.ts; backoffice-ui/src/production-intake-origin-card-state.ts,tests/backoffice-route-smoke.test.ts; tests/backoffice-intake-request-detail.test.ts,Inventoried,Not tested,,P2,
US-005,Home dashboard,Latest audit handoff summary,Internal operator,"As an operator, I can see recent audit activity as internal working evidence.","Audit entries are loaded from production audit endpoint and formatted with actor, action, timestamp, and summary.",UI home dashboard,backoffice-ui/src/app-shell-state.ts; backoffice-ui/src/api.ts; production-service/src/app.ts,tests/backoffice-route-smoke.test.ts; tests/p4-audit-traceability.test.ts,Inventoried,Not tested,,P2,
US-006,Demo data,Seed demo data from UI,Operations/audit operator,"As an operator, I can seed demo data for local rehearsal without using real customer data.","Seed action calls intake, offer, and production seed-demo endpoints and exposes success/failure feedback.",UI home action; service seed endpoints,backoffice-ui/src/app-seed-demo-action.ts; intake-service/src/app.ts; offer-service/src/app.ts; production-service/src/app.ts,tests/app-seed-demo-action.test.ts; tests/local-ops-check-contract.test.ts,Inventoried,Not tested,,P1,
US-007,Operator identity,Operator name persistence,Internal operator,"As an operator, I can set my display name and have mutating requests use it as the actor header.",Operator name persists in localStorage and API headers default to role-specific actor names when no custom name exists.,UI shell; API client,backoffice-ui/src/use-operator-name-state.ts; backoffice-ui/src/api.ts,tests/use-operator-name-state.test.ts; tests/p1-role-guards.test.ts,Inventoried,Not tested,,P2,
US-008,Feedback,Global error and notice display,Internal operator,"As an operator, I can see action success notices and errors in a common feedback surface.",App stores notice/error state and renders it through the feedback shell after mutations.,UI shell,backoffice-ui/src/App.tsx; backoffice-ui/src/app-feedback-shell.tsx; backoffice-ui/src/submit-error-message.ts,tests/app-feedback-shell.test.ts; tests/submit-error-message.test.ts,Inventoried,Not tested,,P2,
US-009,Offer intake,Create offer draft from free text,Offer operator,"As an offer operator, I can paste a customer request and create an offer draft.","POST /v1/offers/from-text parses text into an event request, creates a draft, saves it, and logs audit metadata.",UI /angebot; POST /v1/offers/from-text,backoffice-ui/src/offer-workbench.tsx; backoffice-ui/src/offer-text-submit-action.ts; offer-service/src/routes/draft-routes.ts,tests/offer-text-submit-action.test.ts; tests/backoffice-route-smoke.test.ts; tests/curated-offer-selection.test.ts,Inventoried,Not tested,,P1,
US-010,Offer intake,Create offer draft from structured event request,Offer operator,"As an offer operator, I can create a draft from a structured EventRequest payload.","POST /v1/offers/drafts validates EventRequest, creates and stores an OfferDraft, and logs readiness/variant count.",POST /v1/offers/drafts,offer-service/src/routes/draft-routes.ts; shared-core/src/rules/offer.ts,tests/backoffice-api.test.ts; tests/offer-gold-run.test.ts,Inventoried,Not tested,,P2,
US-011,Offer packages,Curated portfolio package selection,Offer operator,"As an offer operator, supported event requests can use real curated package presets.",selectCuratedPackage maps supported event/service combinations and min pax to fixture packages; unmatched or below-min-pax requests fall back.,Offer draft creation,shared-core/src/rules/curated-offer-selection.ts; shared-core/src/fixtures/curated-offer-packages.json; offer-service/src/routes/draft-routes.ts,tests/curated-offer-selection.test.ts; tests/offer-gold-run.test.ts,Inventoried,Not tested,,P1,
US-012,Offer packages,Default offer draft fallback,Offer operator,"As an offer operator, unsupported requests still receive a default offer draft.","When no curated package matches, createOfferDraft is used and the meeting/coffee-break default path remains available.",Offer draft creation,offer-service/src/routes/draft-routes.ts; shared-core/src/rules/offer.ts,tests/curated-offer-selection.test.ts; tests/offer-gold-run.test.ts,Inventoried,Not tested,,P1,
US-013,Offer workbench,List and focus offer drafts,Offer operator,"As an offer operator, I can browse existing drafts and focus the active draft.",Dashboard loads offer drafts; offer route state filters/sorts and chooses selected or active draft.,UI /angebot; GET /v1/offers/drafts,backoffice-ui/src/app-dashboard-route-state.ts; backoffice-ui/src/offer-workbench-state.ts; offer-service/src/routes/draft-routes.ts,tests/offer-workbench-state.test.ts; tests/backoffice-route-smoke.test.ts,Inventoried,Not tested,,P1,
US-014,Offer workbench,Read customer-facing and internal offer text,Offer operator,"As an offer operator, I can inspect customer-facing proposal text and internal review notes.","Focused draft renders summary, customer text, internal working text, open questions, and variants.",UI /angebot,backoffice-ui/src/offer-workbench.tsx; shared-core/src/rules/offer.ts,tests/backoffice-output-praesentation-smoke.test.ts; tests/offer-gold-run.test.ts,Inventoried,Not tested,,P1,
US-015,Offer workbench,Promote offer variant to production spec,Offer operator,"As an offer operator, I can hand an offer variant into an operative event specification.",POST /v1/offers/drafts/:draftId/promote promotes requested or default variant into AcceptedEventSpec and logs audit.,UI /angebot; POST promote endpoint,backoffice-ui/src/offer-draft-promote-action.ts; offer-service/src/routes/draft-routes.ts,tests/offer-draft-promote-action.test.ts; tests/offer-gold-run.test.ts; tests/backoffice-route-smoke.test.ts,Inventoried,Not tested,,P1,
US-016,Offer export,Open offer HTML export,Offer operator,"As an offer operator, I can open a print-ready offer HTML export for a draft.","Export service requires offer operator, loads draft by id, returns text/html, and 404s unknown drafts.",GET /v1/exports/offers/:draftId/html,print-export/src/index.ts; shared-core/src/export-html.ts,tests/backoffice-route-smoke.test.ts; tests/backoffice-output-praesentation-smoke.test.ts; tests/print-export-xss.test.ts,Inventoried,Not tested,,P1,
US-017,Offer mini-pilot,Paste/check/clear mini-pilot result before handoff,Offer operator,"As an offer operator, I can paste a local mini-pilot JSON result and see whether offer handoff is ready.","Mini-pilot panel parses ready/blocked JSON, shows reason/next step, persists local result, and supports clear actions.",UI /angebot mini-pilot panel,backoffice-ui/src/mini-pilot-check-panel.tsx; backoffice-ui/src/offer-mini-pilot-action-state.ts; backoffice-ui/src/use-mini-pilot-result-state.ts,tests/mini-pilot-check-panel.test.ts; tests/offer-mini-pilot-action-state.test.ts; tests/mini-pilot-action-clear-controls.test.ts,Inventoried,Not tested,,P2,
US-018,Offer recipes,List and inspect shared recipe library from offer workflow,Offer operator,"As an offer operator, I can list and retrieve recipes used by the offer workflow.",Offer recipe endpoints require offer role and return shared RecipeLibrary items or 404 for unknown ids.,GET /v1/offers/recipes; GET /v1/offers/recipes/:recipeId,offer-service/src/app.ts; shared-core/src/recipe-library.ts,tests/recipe-review-access.test.ts; tests/mutating-route-auth-matrix.test.ts,Inventoried,Not tested,,P2,
US-019,Offer recipes,Import recipe text from offer workflow,Offer operator,"As an offer operator, I can import recipe text into the shared recipe library.","POST import-text parses uploaded recipe text, saves recipe, and logs source tier/approval state.",POST /v1/offers/recipes/import-text,offer-service/src/app.ts; shared-core/src/recipe-import.ts,tests/recipe-review-access.test.ts; tests/production-recipe-submission-actions.test.ts,Inventoried,Not tested,,P2,
US-020,Offer recipes,Upload recipe file from offer workflow,Offer operator,"As an offer operator, I can upload a recipe file for extraction and library import.","Multipart upload validates metadata/limits, extracts document text, parses recipe, saves it, and returns upload errors on invalid files.",POST /v1/offers/recipes/upload,offer-service/src/app.ts; shared-core/src/upload-security.ts,tests/upload-security.test.ts; tests/document-text.test.ts; tests/recipe-review-access.test.ts,Inventoried,Not tested,,P2,
US-021,Offer recipes,Review recipe from offer workflow,Offer operator,"As an offer operator, I can approve, verify, or reject an imported recipe.",PATCH review updates recipe approval state and logs review decision.,PATCH /v1/offers/recipes/:recipeId/review,offer-service/src/app.ts; shared-core/src/recipe-library.ts,tests/recipe-review-access.test.ts; tests/production-recipe-review-state.test.ts,Inventoried,Not tested,,P2,
US-022,Intake,Normalize text or structured request to accepted spec,Intake operator,"As an intake operator, I can turn a customer request into an AcceptedEventSpec.","POST /v1/intake/normalize accepts EventRequest or text, stores request/spec, evaluates readiness, and logs normalization.",POST /v1/intake/normalize,intake-service/src/app.ts; shared-core/src/rules/normalization.ts,tests/intake-normalization-robustness.test.ts; tests/backoffice-api.test.ts,Inventoried,Not tested,,P1,
US-023,Intake,Create accepted spec from manual form,Intake operator,"As an intake operator, I can enter event fields manually and create an accepted spec.","POST /v1/intake/specs/manual builds EventRequest from form fields, normalizes to spec, stores request/spec, and audits.",UI production manual form; POST /v1/intake/specs/manual,backoffice-ui/src/production-manual-spec-input.ts; intake-service/src/app.ts,tests/production-manual-spec-submit-action.test.ts; tests/intake-to-production-e2e.test.ts,Inventoried,Not tested,,P1,
US-024,Intake documents,Upload intake documents as JSON base64,Intake operator,"As an intake operator, I can submit document content for ingestion and spec creation.","POST /v1/intake/documents validates documents, ingests text, stores request/spec, returns ingestion summary, and audits.",POST /v1/intake/documents,intake-service/src/routes/document-routes.ts; shared-core/src/document-ingestion.ts,tests/document-ingestion-boundary.test.ts; tests/pa11-intake-document-ingestion-bridge.test.ts,Inventoried,Not tested,,P1,
US-025,Intake documents,Upload intake documents as multipart file,Intake operator,"As an intake operator, I can directly upload PDF/email/text files into intake.","Multipart upload enforces limits/metadata validation, extracts documents, stores request/spec, and returns upload errors safely.",UI production upload; POST /v1/intake/documents/upload,backoffice-ui/src/production-document-submit-action.ts; intake-service/src/routes/document-routes.ts; shared-core/src/upload-security.ts,tests/production-document-submit-action.test.ts; tests/upload-security.test.ts; tests/backoffice-route-smoke.test.ts,Inventoried,Not tested,,P1,
US-026,Intake work items,List and open intake requests,Intake operator,"As an intake operator, I can list active requests and open a request detail.",GET requests supports includeArchived query; detail returns request or 404.,GET /v1/intake/requests; GET /v1/intake/requests/:requestId,intake-service/src/routes/work-item-routes.ts; backoffice-ui/src/use-production-intake-request-detail.ts,tests/intake-request-detail.test.ts; tests/backoffice-intake-request-detail.test.ts,Inventoried,Not tested,,P1,
US-027,Intake work items,List and open accepted specs,Intake operator,"As an intake operator, I can list active accepted specs and open a spec detail.",GET specs supports includeArchived query; detail returns spec or 404.,GET /v1/intake/specs; GET /v1/intake/specs/:specId,intake-service/src/routes/work-item-routes.ts; backoffice-ui/src/app-dashboard-route-state.ts,tests/intake-to-production-e2e.test.ts; tests/backoffice-production-acceptance-smoke.test.ts,Inventoried,Not tested,,P1,
US-028,Intake work items,Soft-archive wrong or stale intake context,Intake operator,"As an operator, I can remove a wrong upload or rehearsal context from active focus without hard delete.","POST archive validates reasonCode, archives request and related specs, returns archived spec ids, and logs no hard delete.",UI production archive action; POST /v1/intake/requests/:requestId/archive,backoffice-ui/src/production-intake-archive-action.ts; intake-service/src/routes/work-item-routes.ts,tests/intake-soft-archive.test.ts; tests/backoffice-production-acceptance-smoke.test.ts,Inventoried,Not tested,,P1,
